plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,reasoning_basis,match_type,classification_status,source_statement,created_at
RPLUC-000105,GSTMT-000462,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,c502adb5aeb8463f88d90c9be98eed6e_4.bin,PLU-COMP-001,Legal and Compliance,FAR Clause,FAR Clause,Compliance Intelligence,federal acquisition regulation;contract,2,121,0.94,FAR clause bundle,bundle,reasoned_classified,Construction Contract Administration Federal Acquisition Regulation (FAR) 36.211(b) requires agencies provide description of policies and procedures that apply to definitization of equitable adjustments for change orders under construction contracts and data on the time required to definitize equitable adjustments for change orders under construction contracts.,2026-06-25 06:10:29
RPLUC-000106,GSTMT-000467,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,c502adb5aeb8463f88d90c9be98eed6e_6.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,This requirement is being solicited as a Service-Disabled Veteran-Owned Small Business,2026-06-25 06:10:29
RPLUC-000107,GSTMT-000471,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_1.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,price proposal;submit;proposal,1,132,0.94,Proposal volume bundle,bundle,reasoned_classified,"PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below.",2026-06-25 06:10:29
RPLUC-000108,GSTMT-000474,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_1.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,"lowest priced, technically acceptable;award will be made;technically acceptable",1,146,0.94,LPTA evaluation framework bundle,bundle,reasoned_classified,"An award will be made based on the lowest priced, technically acceptable proposal.",2026-06-25 06:10:29
RPLUC-000109,GSTMT-000476,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_1.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,Firm Fixed Price Small Business Set-Aside:,2026-06-25 06:10:29
RPLUC-000110,GSTMT-000484,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,unit price;line item;quantity,3,129,0.94,Pricing schedule bundle,bundle,reasoned_classified,Attachment C- RFP481393 Vendor Name Quote Number Date Line ItemItem Description Part Number Manufacturer Quantity Unit Price Total Price Lead Time Country of Origin 1EcoStruxure Panel Server Advanced (EnerlinX Series) or domestic equivalent PAS800L-ESX Schneider Electric 41 Total,2026-06-25 06:10:29
RPLUC-000111,GSTMT-000489,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_3.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;system for award management;award,1,125,0.94,Registration bundle,bundle,reasoned_classified,You are required to register in SAM (System for Award Management) and to maintain your registration annually.,2026-06-25 06:10:29
RPLUC-000112,GSTMT-000495,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_4.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,2,100,0.82,single_rule,single,reasoned_classified,and “Contracting Officer” shall mean Company’s Procurement Officer Applicable to all UT- Battelle subcontracts based on thresholds defined below 52.203-6 RESTRICTIONS ON SUBCONTRACTOR SALES TO THE GOVERNMENT (JU,2026-06-25 06:10:29
RPLUC-000113,GSTMT-000501,b80dc335dcbb4f6abbff52eb54415e9a,EcoStruxure Panel Server Advanced (EnerlinX Series),b80dc335dcbb4f6abbff52eb54415e9a_5.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,100,0.82,single_rule,single,reasoned_classified,"There shall be no interruption in the performance of the work, and Seller shall proceed diligently with the performance of this Agreement pending final resolution of any dispute arising under this Agreement between the parties hereto or between Seller and its lower-tier subcontractors.",2026-06-25 06:10:29
RPLUC-000114,GSTMT-000513,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,b1c5dab7c7e14227b62fa4e78e478d2a_4.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,program manager,1,100,0.82,single_rule,single,reasoned_classified,Refer to survey findings for additional information or contact the Asbestos Program Manager.,2026-06-25 06:10:29
RPLUC-000115,GSTMT-000514,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,b1c5dab7c7e14227b62fa4e78e478d2a_5.bin,PLU-META-004,Metadata and Structure,Table of Contents,Table of Contents,Document Structure Intelligence,table of contents,1,94,0.82,single_rule,single,reasoned_classified,"within interior design HP135 BEQ Renovation CL Marine Corps Base, Camp Lejeune, NC Structural Interior Design Package Sealed Final Submittal May 2026 Table of Contents 1.",2026-06-25 06:10:29
RPLUC-000116,GSTMT-000515,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,b1c5dab7c7e14227b62fa4e78e478d2a_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,point of contact,1,96,0.82,single_rule,single,reasoned_classified,"Finish Boards within HP135 BEQ Renovation CL Marine Corps Base, Camp Lejeune, NC Structural Interior Design Package interior design Point of Contact List A&E Architect Base Architectural Supervisor John Schmied, AIA, LEED AP BD+C Cathy Martin MBF Architects Architectural Design Branch/Public 317-C Pollock Street Works Division New Bern, NC 28560 1005 Michael Road (252) 637-6373 Camp Lejeune, North Carolina schmied@mbfarchitects.com 28547 (910) 451-0394 catherine.martin@usmc.mil A&E Interior Designer Jamie Kissel, NCIDQ, CID Within Interior Design 1008 Granby Street Norfolk, VA 23510 (757) 224-0489 jkissel@withindesigns.com within HP135 BEQ Renovation CL Marine Corps Base, Camp Lejeune, NC Structural Interior Design Package interior design SID Narrative INTERIOR DESIGN CRITERIA Interior Design work will comply with the latest edition of the following codes and standards:",2026-06-25 06:10:29
RPLUC-000117,GSTMT-000521,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,b1c5dab7c7e14227b62fa4e78e478d2a_8.bin,PLU-META-004,Metadata and Structure,Table of Contents,Table of Contents,Document Structure Intelligence,table of contents,1,94,0.82,single_rule,single,reasoned_classified,"25-0011 MCB Camp Lejeune, NC 15 May 2026 PROJECT TABLE OF CONTENTS DIVISION 01 - GENERAL REQUIREMENTS 01 11 00 08/25 SUMMARY OF WORK 01 14 00 04/22 WORK RESTRICTIONS (MCBL) 01 20 00 11/20, CHG 3:",2026-06-25 06:10:29
RPLUC-000118,GSTMT-000531,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,b1c5dab7c7e14227b62fa4e78e478d2a_9.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,project manager,1,100,0.82,single_rule,single,reasoned_classified,"Dawson Jenny Clark, REM Environmental Project Manager Associate Environmental Principal bdawson@ecslimited.com jclark@ecslimited.com 910-686-9114 404-640-9257 6714 Netherlands Drive, Wilmington, North Carolina 28405 • T:910-686-9114",2026-06-25 06:10:29
RPLUC-000119,GSTMT-000533,a466be2cf94e451f8b4b88177dd2f9dc,Secure Document Destruction - No Cost,a466be2cf94e451f8b4b88177dd2f9dc_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;requirement,1,111,0.94,Product/material requirement bundle,bundle,reasoned_classified,"This is an unrestricted requirement under NAICS Code 423930, Recyclable Materials Services.",2026-06-25 06:10:29
RPLUC-000120,GSTMT-000534,a466be2cf94e451f8b4b88177dd2f9dc,Secure Document Destruction - No Cost,a466be2cf94e451f8b4b88177dd2f9dc_1.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,"See Attachment 1, Schedule of Prices.",2026-06-25 06:10:29
RPLUC-000121,GSTMT-000536,a466be2cf94e451f8b4b88177dd2f9dc,Secure Document Destruction - No Cost,a466be2cf94e451f8b4b88177dd2f9dc_1.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,The National Archives and Records Administration (NARA) has a requirement for off-site commercial secure document destruction for various Federal Records Centers (see attachment 1).,2026-06-25 06:10:29
RPLUC-000122,GSTMT-000562,a3e0948c660849a5815153897d456f7d,EcoStruxure Panel Server Wired by Design (a universal concentrator Modbus gateway),a3e0948c660849a5815153897d456f7d_1.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,unit price;line item;quantity,3,129,0.94,Pricing schedule bundle,bundle,reasoned_classified,Attachment C- RFP480603 Vendor Name Quote Number Date Line ItemItem Description Part Number Manufacturer Quantity Unit Price Total Price Lead Time Country of Origin 1EcoStruxure Panel Server Wired by Design (a universal concentrator Modbus gateway) or domestic equivalent PAS600LWD-ESX Schneider Electric 37 Total,2026-06-25 06:10:29
RPLUC-000123,GSTMT-000573,a3e0948c660849a5815153897d456f7d,EcoStruxure Panel Server Wired by Design (a universal concentrator Modbus gateway),a3e0948c660849a5815153897d456f7d_3.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,price proposal;submit;proposal,1,132,0.94,Proposal volume bundle,bundle,reasoned_classified,"PR480603 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below.",2026-06-25 06:10:29
RPLUC-000124,GSTMT-000605,9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,9bca2be24fb64fbe833ab48ae2b41b2a_2.bin,PLU-PROP-003,Proposal,Submission Instruction,Submission Instruction,Proposal Intelligence,offerors.*submit,1,102,0.82,single_rule,single,reasoned_classified,Offerors who did not attend the site visit may still submit a quotation and will be considered for award in accordance with the terms and conditions of the solicitation.,2026-06-25 06:10:29
RPLUC-000125,GSTMT-000606,9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,9bca2be24fb64fbe833ab48ae2b41b2a_2.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,Will the government consider changing this requirement to two (2) projects showing relevant Caretaker services experience due to this RFQ being issued as a small business set aside?,2026-06-25 06:10:29
RPLUC-000126,GSTMT-000607,9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,9bca2be24fb64fbe833ab48ae2b41b2a_2.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,"No, the requirement will be solicited and awarded as one (1) small business set-aside.",2026-06-25 06:10:29
RPLUC-000127,GSTMT-000614,9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,9bca2be24fb64fbe833ab48ae2b41b2a_5.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,key personnel,1,100,0.82,single_rule,single,reasoned_classified,Key Personnel ...................................................................................................................................,2026-06-25 06:10:29
RPLUC-000128,GSTMT-000615,9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,9bca2be24fb64fbe833ab48ae2b41b2a_5.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,pricing schedule,1,118,0.94,Pricing schedule bundle,bundle,reasoned_classified,Pricing Schedule ...............................................................................................................................,2026-06-25 06:10:29
